Start Node,Target Node,Random Walk Nodes Visited,Shortest Path Nodes Visited
V3,V2,12,2
V6,V3,12,2
V5,V4,2,2
V3,V6,8,2
V2,V1,2,2
V7,V1,15,5
V1,V4,10,4
V1,V2,2,2
V2,V3,4,2
V2,V3,2,2
V5,V2,8,4
V6,V5,6,4
V6,V1,44,4
V6,V4,13,3
V5,V4,2,2
V6,V3,4,2
V1,V3,3,3
V5,V3,3,3
V3,V1,19,3
V4,V3,6,2
V2,V6,7,3
V1,V2,2,2
V7,V3,3,3
V4,V3,2,2
V5,V4,2,2
V6,V1,44,4
V4,V7,2,2
V3,V5,9,3
V3,V4,4,2
V1,V6,14,4
V1,V3,3,3
V2,V7,10,4
V5,V3,5,3
V5,V7,3,3
V4,V1,20,4
V5,V3,7,3
V2,V3,2,2
V2,V5,44,4
V5,V2,6,4
V5,V1,25,5
V4,V3,4,2
V6,V2,11,3
V7,V3,3,3
V5,V6,10,4
V3,V4,2,2
V5,V3,3,3
V5,V3,3,3
V1,V4,10,4
V7,V6,4,2
V6,V5,8,4
V6,V5,48,4
V3,V5,79,3
V1,V2,2,2
V6,V4,11,3
V7,V2,6,4
V2,V3,4,2
V4,V5,46,2
V2,V5,30,4
V2,V5,8,4
V6,V5,72,4
V6,V1,26,4
V4,V7,2,2
V7,V5,13,3
V6,V2,3,3
V1,V4,8,4
V3,V4,16,2
V6,V7,2,2
V3,V4,8,2
V4,V1,26,4
V5,V1,47,5
V2,V7,12,4
V6,V5,14,4
V1,V7,23,5
V3,V2,2,2
V3,V1,49,3
V1,V7,7,5
V6,V3,4,2
V1,V6,4,4
V5,V4,2,2
V2,V7,10,4
V1,V5,5,5
V4,V7,4,2
V5,V1,11,5
V3,V4,2,2
V4,V7,8,2
V1,V4,18,4
V4,V3,2,2
V7,V6,2,2
V7,V2,8,4
V6,V2,35,3
V6,V5,8,4
V2,V1,12,2
V4,V5,54,2
V7,V6,2,2
V2,V4,3,3
V3,V7,7,3
V7,V6,2,2
V3,V2,8,2
V7,V5,15,3
V1,V7,5,5
V2,V3,4,2
V4,V3,18,2
V6,V7,2,2
V4,V2,7,3
V2,V3,2,2
V6,V2,5,3
V1,V4,6,4
V1,V6,36,4
V4,V1,44,4
V6,V2,9,3
V1,V4,22,4
V7,V6,16,2
V2,V1,2,2
V6,V2,13,3
V4,V1,20,4
V4,V6,3,3
V4,V6,3,3
V1,V4,6,4
V7,V3,13,3
V7,V5,13,3
V4,V7,8,2
V6,V2,53,3
V1,V7,9,5
V5,V4,2,2
V1,V2,2,2
V4,V7,8,2
V1,V4,4,4
V5,V2,18,4
V2,V7,6,4
V4,V3,4,2
V7,V2,16,4
V4,V7,4,2
V3,V5,9,3
V6,V3,6,2
V6,V5,6,4
V1,V6,12,4
V6,V5,30,4
V4,V5,2,2
V3,V1,13,3
V7,V1,23,5
V3,V7,9,3
V2,V4,9,3
V7,V4,2,2
V1,V6,6,4
V1,V3,9,3
V3,V4,2,2
V3,V4,2,2
V5,V1,7,5
V7,V6,8,2
V5,V3,3,3
V5,V1,11,5
V1,V3,3,3
V3,V6,6,2
V1,V5,9,5
V3,V2,2,2
V6,V7,2,2
V5,V1,9,5
V2,V7,12,4
V2,V3,6,2
V5,V7,5,3
V2,V3,6,2
V2,V5,18,4
V5,V2,4,4
V4,V7,2,2
V6,V2,21,3
V4,V5,2,2
